Marker	Footnote Content	Proposed Citekey	Pinpoint	Confidence
[^94]	Personal information is defined as the following: His or her caste, ethnicity, birth, origin, religion, colour or marital status; His or her education or academic qualification; His or her address, telephone or address of electronic letter (email); His or her passport, citizenship certificate, national identity card number, driving license, voter identity card or details of identity card issued by a public body; A letter sent or received by him or her to or from anybody mentioning personal information; His or her thumb impressions, fingerprints, retina of eye, blood group or other biometric information; His or her criminal background or description of the sentence imposed on him or her for a criminal offence or service of the sentence; and Matter as to what opinion or view has been expressed by a person who gives professional or expert opinion, in the process of any decision.	@indonesiaPressAct1999		40
[^95]	Section 2 (c), The Privacy Act, 2075 (2018)	@nepalPrivacyAct20752018	Section 2	70
[^96]	“PDF,” n.d.			0
[^97]	Section 27, the Privacy Act, 2075(2018)	@nepalPrivacyAct20752018	Section 27	40
[^98]	Section 23, The Privacy Act, 2075 (2018)	@nepalPrivacyAct20752018	Section 23	70
[^99]	Section 12, The Privacy Act, 2075 (2018)	@nepalPrivacyAct20752018	Section 12	70
[^100]	Section 19 (1) (2), The Privacy Act, 2075 (2018)	@nepalPrivacyAct20752018	Section 19	70
[^101]	Section 27, the Privacy Act, 2075(2018)	@nepalPrivacyAct20752018	Section 27	40
[^102]	Section 26, The Privacy Act, 2075 (2018)	@nepalPrivacyAct20752018	Section 26	70
[^103]	Interview with   DOIT, Annex-4	@SECIView		40
[^104]	Rule 5, Individual Privacy Regulation, 2077 (2020)	@IndividualPrivacy	Rule 5	40
[^105]	Rule 11 (1) & (2), Individual Privacy Regulation, 2077 (2020)	@IndividualPrivacy	Rule 11	40
[^106]	“PDF,” n.d.			0
[^107]	Section 25, The Privacy Act, 2075 (2018)	@nepalPrivacyAct20752018	Section 25	70
[^108]	Section 29, The Privacy Act, 2075 (2018)	@nepalPrivacyAct20752018	Section 29	70
[^109]	Article.4, General Data Protection regulation (2016) 	@bolobhiDataProtection2019		40
[^110]	Article 4 (11), General Data Protection regulation (2016)	@bolobhiDataProtection2019		40
[^111]	Article 15, General Data Protection Regulation (2016)	@bolobhiDataProtection2019		40
[^112]	Article 15 (2), General Data Protection Regulation (2016)	@bolobhiDataProtection2019		40
[^113]	Article 18, General Data Protection Regulation (2016)	@bolobhiDataProtection2019		40
[^114]	Article 17, General Data Protection Regulation (2016) 	@bolobhiDataProtection2019		40
[^115]	Article 16, General Data Protection Regulation (2016)	@bolobhiDataProtection2019		40
[^116]	The World Bank, “Use of data in the private sector of Nepal the current state and opportunities in finance, education and the media” (July 2020\) pg.12, available at “https://documents1.worldbank.org/curated/en/805261601023506163/pdf/Use-of-Data-in-the-Private-Sector-of-Nepal-The-Current-State-and-Opportunities-in-Finance-Education-and-the-Media.pdf”   	@UseData		90
[^117]	Interview with  DOIT, Annex-4	@SECIView		40
[^118]	Section 2(k), Electronic Transaction Act, 2063 (2008) 	@ElectronicTransactions	Section 2	30
[^119]	“The Electronic Transactions Act, 2063 (2008).Pdf.”	@ElectronicTransactions		70
[^120]	Section 2(v), Electronic Transaction Act, 2063 (2008)	@ElectronicTransactions	Section 2	30
